[19:08:49.873] [SEVERE ] removing player 2 token from slot 0
[19:08:49.873] [SEVERE ] player 2 placing token on slot 0
[19:08:49.874] [SEVERE ] removing player 2 token from slot 0
[19:08:49.874] [SEVERE ] player 2 placing token on slot 0
[19:08:49.874] [SEVERE ] removing player 2 token from slot 0
[19:08:49.874] [SEVERE ] player 2 placing token on slot 0
[19:08:49.874] [SEVERE ] removing player 2 token from slot 0
[19:08:49.874] [SEVERE ] player 2 placing token on slot 0
[19:08:49.876] [SEVERE ] removing player 2 token from slot 0
[19:08:49.876] [SEVERE ] player 2 placing token on slot 0
[19:08:49.876] [SEVERE ] removing player 2 token from slot 0
[19:08:49.876] [SEVERE ] player 2 placing token on slot 0
[19:08:49.876] [SEVERE ] removing player 2 token from slot 0
[19:08:49.876] [SEVERE ] player 2 placing token on slot 0
[19:08:49.876] [SEVERE ] removing player 2 token from slot 0
[19:08:49.876] [SEVERE ] player 2 placing token on slot 0
[19:08:49.876] [SEVERE ] removing player 2 token from slot 0
[19:08:49.877] [SEVERE ] player 2 placing token on slot 0
[19:08:49.877] [SEVERE ] removing player 2 token from slot 0
[19:08:49.878] [SEVERE ] player 2 placing token on slot 0
[19:08:49.878] [SEVERE ] removing player 2 token from slot 0
[19:08:49.878] [SEVERE ] player 2 placing token on slot 0
[19:08:49.878] [SEVERE ] removing player 2 token from slot 0
[19:08:49.879] [SEVERE ] player 2 placing token on slot 0
[19:08:49.879] [SEVERE ] removing player 2 token from slot 0
[19:08:49.879] [SEVERE ] player 2 placing token on slot 0
[19:08:49.880] [SEVERE ] removing player 2 token from slot 0
[19:08:49.880] [SEVERE ] player 2 placing token on slot 0
[19:08:49.880] [SEVERE ] removing player 2 token from slot 0
[19:08:49.880] [SEVERE ] player 2 placing token on slot 0
[19:08:49.880] [SEVERE ] removing player 2 token from slot 0
[19:08:49.880] [SEVERE ] player 2 placing token on slot 0
[19:08:49.880] [SEVERE ] removing player 2 token from slot 0
[19:08:49.880] [SEVERE ] player 2 placing token on slot 0
[19:08:49.880] [SEVERE ] removing player 2 token from slot 0
[19:08:49.880] [SEVERE ] player 2 placing token on slot 0
[19:08:49.880] [SEVERE ] removing player 2 token from slot 0
[19:08:49.881] [SEVERE ] player 2 placing token on slot 0
[19:08:49.881] [SEVERE ] removing player 2 token from slot 0
[19:08:49.881] [SEVERE ] player 2 placing token on slot 0
[19:08:49.881] [SEVERE ] removing player 2 token from slot 0
[19:08:49.881] [SEVERE ] player 2 placing token on slot 0
[19:08:49.881] [SEVERE ] removing player 2 token from slot 0
[19:08:49.881] [SEVERE ] player 2 placing token on slot 0
[19:08:49.882] [SEVERE ] removing player 2 token from slot 0
[19:08:49.882] [SEVERE ] player 2 placing token on slot 0
[19:08:49.882] [SEVERE ] removing player 2 token from slot 0
[19:08:49.883] [SEVERE ] player 2 placing token on slot 0
[19:08:49.883] [SEVERE ] removing player 2 token from slot 0
[19:08:49.883] [SEVERE ] player 2 placing token on slot 0
[19:08:49.883] [SEVERE ] removing player 2 token from slot 0
[19:08:49.883] [SEVERE ] player 2 placing token on slot 0
[19:08:49.884] [SEVERE ] removing player 2 token from slot 0
[19:08:49.884] [SEVERE ] player 2 placing token on slot 0
[19:08:49.885] [SEVERE ] removing player 2 token from slot 0
[19:08:49.885] [SEVERE ] player 2 placing token on slot 0
[19:08:49.885] [SEVERE ] removing player 2 token from slot 0
[19:08:49.885] [SEVERE ] player 2 placing token on slot 0
[19:08:49.885] [SEVERE ] removing player 2 token from slot 0
[19:08:49.886] [SEVERE ] player 2 placing token on slot 0
[19:08:49.886] [SEVERE ] removing player 2 token from slot 0
[19:08:49.886] [SEVERE ] player 2 placing token on slot 0
[19:08:49.887] [SEVERE ] removing player 2 token from slot 0
[19:08:49.887] [SEVERE ] player 2 placing token on slot 0
[19:08:49.887] [SEVERE ] removing player 2 token from slot 0
[19:08:49.887] [SEVERE ] player 2 placing token on slot 0
[19:08:49.887] [SEVERE ] removing player 2 token from slot 0
[19:08:49.889] [SEVERE ] player 2 placing token on slot 0
[19:08:49.889] [SEVERE ] removing player 2 token from slot 0
[19:08:49.889] [SEVERE ] player 2 placing token on slot 0
[19:08:49.890] [SEVERE ] removing player 2 token from slot 0
[19:08:49.890] [SEVERE ] player 2 placing token on slot 0
[19:08:49.890] [SEVERE ] removing player 2 token from slot 0
[19:08:49.890] [SEVERE ] player 2 placing token on slot 0
[19:08:49.891] [SEVERE ] removing player 2 token from slot 0
[19:08:49.892] [SEVERE ] player 2 placing token on slot 0
[19:08:49.892] [SEVERE ] removing player 2 token from slot 0
[19:08:49.892] [SEVERE ] player 2 placing token on slot 0
[19:08:49.892] [SEVERE ] removing player 2 token from slot 0
[19:08:49.892] [SEVERE ] player 2 placing token on slot 0
[19:08:49.892] [SEVERE ] removing player 2 token from slot 0
[19:08:49.892] [SEVERE ] player 2 placing token on slot 0
[19:08:49.892] [SEVERE ] removing player 2 token from slot 0
[19:08:49.892] [SEVERE ] player 2 placing token on slot 0
[19:08:49.892] [SEVERE ] removing player 2 token from slot 0
[19:08:49.893] [SEVERE ] player 2 placing token on slot 0
[19:08:49.893] [SEVERE ] removing player 2 token from slot 0
[19:08:49.893] [SEVERE ] player 2 placing token on slot 0
[19:08:49.893] [SEVERE ] removing player 2 token from slot 0
[19:08:49.893] [SEVERE ] player 2 placing token on slot 0
[19:08:49.893] [SEVERE ] removing player 2 token from slot 0
[19:08:49.894] [SEVERE ] player 2 placing token on slot 0
[19:08:49.894] [SEVERE ] removing player 2 token from slot 0
[19:08:49.894] [SEVERE ] player 2 placing token on slot 0
[19:08:49.894] [SEVERE ] removing player 2 token from slot 0
[19:08:49.894] [SEVERE ] player 2 placing token on slot 0
[19:08:49.894] [SEVERE ] removing player 2 token from slot 0
[19:08:49.894] [SEVERE ] player 2 placing token on slot 0
[19:08:49.895] [SEVERE ] removing player 2 token from slot 0
[19:08:49.895] [SEVERE ] player 2 placing token on slot 0
[19:08:49.895] [SEVERE ] removing player 2 token from slot 0
[19:08:49.895] [SEVERE ] player 2 placing token on slot 0
[19:08:49.895] [SEVERE ] removing player 2 token from slot 0
[19:08:49.895] [SEVERE ] player 2 placing token on slot 0
[19:08:49.895] [SEVERE ] removing player 2 token from slot 0
[19:08:49.896] [SEVERE ] player 2 placing token on slot 0
[19:08:49.896] [SEVERE ] removing player 2 token from slot 0
[19:08:49.896] [SEVERE ] player 2 placing token on slot 0
[19:08:49.896] [SEVERE ] removing player 2 token from slot 0
[19:08:49.896] [SEVERE ] player 2 placing token on slot 0
[19:08:49.896] [SEVERE ] removing player 2 token from slot 0
[19:08:49.897] [SEVERE ] player 2 placing token on slot 0
[19:08:49.897] [SEVERE ] removing player 2 token from slot 0
[19:08:49.897] [SEVERE ] player 2 placing token on slot 0
[19:08:49.897] [SEVERE ] removing player 2 token from slot 0
[19:08:49.897] [SEVERE ] player 2 placing token on slot 0
[19:08:49.898] [SEVERE ] removing player 2 token from slot 0
[19:08:49.898] [SEVERE ] player 2 placing token on slot 0
[19:08:49.898] [SEVERE ] removing player 2 token from slot 0
[19:08:49.899] [SEVERE ] player 2 placing token on slot 0
[19:08:49.899] [SEVERE ] placing card 80 in slot 1
[19:08:49.899] [SEVERE ] player 2 placing token on slot 1
[19:08:49.899] [SEVERE ] removing player 2 token from slot 1
